MFCC_1,MFCC_2,MFCC_3,MFCC_4,MFCC_5,MFCC_6,MFCC_7,MFCC_8,MFCC_9,MFCC_10,MFCC_11,MFCC_12,MFCC_13
-590.21924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-589.5378,0.9616785,0.9555565,0.945416,0.9313401,0.9134535,0.8919083,0.8668947,0.83863217,0.8073425,0.773316,0.73683894,0.6982192
-575.43823,20.729496,20.218071,19.400406,18.324951,17.052872,15.652235,14.192111,12.736851,11.341448,10.048292,8.885576,7.8673363
-568.5855,29.939014,28.129032,25.54937,22.618965,19.640972,16.78859,14.189627,11.989577,10.3124485,9.158561,8.357099,7.650693
-570.1476,27.756187,25.982166,23.372824,20.34336,17.304935,14.572709,12.320023,10.5853195,9.316483,8.425552,7.8289385,7.4617124
-571.2213,26.4488,25.256794,23.462376,21.297997,18.998625,16.7518,14.671741,12.801716,11.137653,9.659216,8.35416,7.228133
-568.4197,30.350922,29.0065,27.027351,24.687115,22.202738,19.688509,17.181103,14.707733,12.344954,10.225412,8.488047,7.2064414
-567.0959,32.10726,30.434063,27.973751,25.10859,22.203072,19.522837,17.205854,15.282827,13.722263,12.470389,11.468619,10.650549
-482.88754,56.49788,-21.71489,14.865826,18.347187,11.213385,23.395645,24.843208,12.323181,1.9417268,7.024417,14.494536,21.14426
-188.74904,110.03013,-90.35013,30.55511,-31.058218,18.200031,-2.949517,12.414682,4.073001,-13.476896,-11.552689,-12.047301,15.016565
-110.10169,115.45305,-104.72598,31.904755,-35.59355,23.064451,-8.964758,11.953455,0.014227718,-13.154842,-12.602438,-15.93478,16.482716
-114.49083,98.1745,-110.822525,29.232563,-38.930023,25.29184,-11.155151,6.648711,1.1877042,-15.061577,-8.544611,-19.03349,18.353241
-145.61865,64.77647,-113.77121,29.697407,-42.132545,24.881447,-12.647905,-2.7715495,5.1543655,-15.328449,-3.2955835,-21.934647,17.40931
-158.41127,63.99372,-114.834854,29.057085,-42.967575,26.523,-12.973695,-7.2941933,2.887196,-17.673067,-8.187177,-20.32807,17.48608
-134.48508,78.04109,-137.33817,33.54622,-43.60694,26.165062,-12.367068,-3.3412974,2.6523623,-13.478123,-10.245164,-21.298666,18.315746
-106.37751,92.7464,-146.46239,26.101221,-44.069233,21.517513,-19.930386,3.2437816,2.0206037,-5.909355,-10.279812,-19.429672,15.380457
-108.33807,104.1687,-113.90164,33.145725,-39.087822,8.468863,-24.690384,2.5355153,-4.9019356,-4.8551188,-11.791229,-17.905891,17.114342
-122.56978,61.20342,-14.26748,-1.4398495,-4.438,-18.903706,-17.584303,-3.466486,-11.642187,7.4488125,-22.52377,-3.0788414,4.1601005
-165.81418,12.732977,43.739845,2.766057,1.9470181,-11.64225,-26.35355,8.035849,-7.874922,1.8206193,-14.717594,4.808111,0.47106752
-212.92924,-3.2727475,41.046085,16.149452,11.38888,-5.090555,-18.057522,21.228962,-5.1576414,-1.6802895,-8.989561,10.522076,-0.74503684
-312.1946,42.822006,-5.8667526,9.607534,28.743496,15.182402,-24.445,6.0260153,0.53715324,11.914576,-4.748314,0.016020864,1.8237019
-233.08655,114.877014,-54.851414,3.5989828,7.4688377,27.638435,-36.135414,-18.183117,6.3134503,-2.1807618,-6.8947277,-13.320505,11.458277
-197.06279,133.57924,-47.795345,5.072805,4.3359203,24.260513,-41.38182,-24.472778,-4.6615634,-13.4760895,-7.0233555,-21.856903,4.086395
-220.0222,137.57745,-54.670807,19.251633,8.853358,18.370466,-50.773705,-24.099367,-4.0108266,-40.422127,7.2604437,-25.91294,-1.0656161
-214.95714,83.05978,-74.92364,54.94154,5.790783,-3.7227774,-46.981968,-14.064062,0.7499416,-50.014046,19.630516,-27.755695,4.0826354
-188.41467,49.534782,-68.537254,86.80583,-10.959366,-15.925064,-29.97644,-11.353036,-11.763903,-45.636917,20.687038,-30.119322,7.712984
-193.49214,26.16627,-43.39994,106.71501,-30.729979,-15.758463,-3.0672529,-18.789162,-24.655165,-33.901455,19.966484,-34.86975,11.137659
-207.90553,17.1437,-13.979826,102.196236,-42.399506,-10.288431,11.346846,-31.287083,-24.14785,-16.867523,5.8761597,-37.194607,13.39992
-221.09666,22.643475,5.2027025,94.6537,-48.769127,-6.1243834,17.143223,-39.891792,-18.768654,-5.9028707,-0.07138097,-31.607151,10.3191395
-220.01074,53.191742,14.492752,90.329895,-45.70421,-11.236142,8.030812,-43.806965,-22.498985,-8.02466,-1.5013742,-33.89183,4.144418
-236.34085,90.26687,3.16119,72.02057,-25.477478,-16.945599,0.28984693,-26.515728,-20.697144,-17.83556,1.8830422,-29.273434,2.4679375
-171.88431,110.77878,-34.581245,54.686142,-35.97939,-10.592697,-3.4829943,-1.0069011,-6.6209407,-28.17246,2.5243034,-28.203442,-5.481
-110.172104,118.38199,-69.533356,47.372177,-37.058136,7.2072725,3.98607,8.500916,3.7082686,-30.082176,-3.3530376,-23.95002,1.6585895
-85.93176,117.593185,-93.93234,31.86062,-28.063797,21.179329,7.1497936,-1.1640425,14.076266,-24.87043,-6.8003726,-22.145535,12.023986
-106.48589,105.29625,-99.8349,23.18998,-24.325424,28.929333,7.5951385,-9.470406,17.529448,-19.736732,-7.742258,-26.310375,18.08992
-151.9227,99.885254,-87.72154,9.775435,-15.409237,37.51262,6.6233416,-14.092261,14.478468,-10.050655,-7.339451,-30.058186,19.02064
-182.31674,114.089905,-53.313286,2.237227,-0.4004107,44.511307,6.204934,-8.517578,6.347271,-2.2546182,-16.795052,-30.767624,13.180069
-272.5237,113.46873,-18.410315,8.745252,8.219289,46.087994,12.508711,0.22209466,4.8305683,2.3362556,-18.628319,-28.28098,7.0486693
-371.20267,86.61458,10.393907,35.47558,13.919313,22.369661,8.726324,1.306636,-1.633336,8.486055,-0.26199865,-6.92467,-1.138
-284.70944,95.48538,-3.7970798,9.057728,-8.403146,18.17591,4.3527946,-2.1187294,-9.92713,11.8648405,6.9222507,-1.9885663,2.522434
-208.56366,146.39786,9.910748,-14.432076,-36.54328,17.685493,-1.693924,-14.112295,-26.120697,-2.2299094,4.313698,-3.1311262,10.804434
-179.93065,155.41718,4.6507053,-13.443403,-52.68975,18.103825,1.7893056,-21.188175,-20.782343,-11.383392,5.694999,0.0049852133,20.40694
-203.99292,149.89174,-9.311151,-6.8878937,-68.96306,20.526142,5.437013,-20.801228,-6.381906,-20.352776,10.079467,4.9131794,29.613611
-246.74463,141.90413,-3.7685294,-0.9150589,-78.270004,21.468878,2.3530917,-18.929607,-0.793641,-27.04895,3.8524053,8.083907,26.950634
-279.58627,143.15793,14.692032,1.49168,-71.99905,22.848736,1.715632,-21.435364,1.6467595,-27.030731,-5.10824,7.5799165,18.654854
-323.9282,148.11731,32.22921,3.6381216,-58.520287,19.237984,7.3818607,-21.753065,-0.13993323,-23.138447,-8.761679,1.8306072,14.299723
-377.20142,154.25261,48.549507,0.58234787,-35.84291,14.2696495,9.153574,-13.375062,-0.69007826,-20.169407,-10.106438,-6.4725924,9.095944
-430.49487,148.08974,53.21791,1.8366069,-0.6139276,19.311775,8.402166,3.587591,-4.801038,-15.652704,-13.969416,-14.566223,3.9736059
