MFCC_1,MFCC_2,MFCC_3,MFCC_4,MFCC_5,MFCC_6,MFCC_7,MFCC_8,MFCC_9,MFCC_10,MFCC_11,MFCC_12,MFCC_13
-697.22144,0.24769711,-3.3880215,-0.66932297,2.9155455,0.8915282,-2.2531495,-0.84688514,1.5483074,0.5430067,-0.9417068,-0.054934066,0.5297065
-220.51013,116.68062,-74.67882,29.472122,-31.515205,23.75385,-30.956072,24.92782,-12.02071,-11.387976,-23.140785,10.86288,-4.80394
-113.07526,115.8629,-79.142334,28.913805,-33.169075,23.217768,-33.110905,23.290333,-15.667945,-13.413473,-27.448954,10.487358,-5.227915
-99.28974,106.10617,-74.950516,28.353157,-38.657288,15.740026,-30.555258,23.628334,-12.990526,-11.666282,-27.034073,11.297455,-7.61457
-111.55079,108.553925,-47.087196,37.358322,-37.80111,-6.912639,-35.8371,14.201349,-8.998932,-17.382141,-21.569075,6.751087,-10.552729
-151.25249,120.84694,-30.788548,37.90911,-29.738014,-5.835564,-37.407223,5.725443,-0.7819093,-18.62949,-17.240852,2.6504393,0.50543416
-147.39516,108.920105,-55.314926,28.750439,-42.59208,19.287308,-46.36028,2.3869152,2.846402,-3.8705347,-14.286498,-2.1251755,7.566698
-124.887314,119.58097,-79.831955,14.835777,-55.825474,41.820015,-46.34414,19.292625,-8.7939,7.500351,-22.391663,-0.84172785,-4.532079
-144.35902,136.27222,-67.26753,8.0372095,-48.302097,42.764023,-44.332977,19.207859,-15.591402,10.188927,-26.71599,0.3481735,-7.501343
-233.4107,137.20612,-28.442858,7.33916,-20.897758,18.651083,-23.09788,2.3719347,-5.855573,7.4901075,-13.050062,-5.591177,2.2709954
-279.07907,80.74259,-14.766767,34.759975,-4.5274854,-3.7953734,-2.0423765,4.8902383,-1.7153225,1.0895889,-7.696579,-3.034205,9.716545
-267.20544,120.17157,12.739017,40.473984,-9.546409,-12.296011,-12.722609,-5.246791,-10.17045,-8.006371,-13.571624,-5.669357,8.243162
-326.0029,170.88855,48.690506,31.363646,-52.91037,1.9973638,-20.70071,-2.5637476,-7.0805655,-14.977098,-12.798714,-13.119165,5.632327
-340.60034,166.20642,49.85021,30.67339,-64.275085,1.2981786,-28.545834,0.53049374,-3.9797752,-0.32866776,-14.540426,-22.083145,2.273275
-359.42145,157.50816,51.18573,33.303677,-49.93216,4.911739,-29.703453,-2.9600012,-10.831583,10.966321,-9.779194,-17.551619,-0.78153527
-386.519,151.68256,60.757786,35.394917,-26.159641,9.9874935,-29.091047,-2.926644,-15.61326,9.482487,-4.7299447,-11.22661,-5.895079
-400.84784,139.23743,63.750256,32.255043,1.2690921,12.3201275,-24.425499,7.173334,-25.114632,15.887855,-3.082169,-1.911898,-9.9915905
-427.23526,116.47107,45.395786,20.643991,24.186419,16.894539,-18.53479,24.066982,-32.542183,19.018736,-8.436749,-6.2011356,-2.0148053
-517.1501,92.57025,34.348213,7.3022084,24.02945,13.100711,-11.925333,25.166052,-25.639435,15.458511,-12.093641,-12.539602,-1.0546494
