MFCC_1,MFCC_2,MFCC_3,MFCC_4,MFCC_5,MFCC_6,MFCC_7,MFCC_8,MFCC_9,MFCC_10,MFCC_11,MFCC_12,MFCC_13
-673.97656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-403.08505,96.181564,-27.175957,48.167027,-16.779589,3.7591982,7.6661224,15.521986,16.490988,7.719179,0.38943684,-1.6942976,-0.36856568
-184.37607,139.59052,-67.395874,61.767418,-39.569664,8.689819,3.3830833,13.520779,17.587795,3.463098,-4.8638835,-0.37674287,-8.953083
-138.67403,154.8461,-73.51904,57.401146,-43.109863,6.949542,3.4316814,11.586729,17.741657,-2.0458472,-3.578341,-2.1576743,-8.36253
-142.58527,164.11624,-77.91668,50.000233,-39.21615,-0.7812583,5.0798407,15.538809,15.434803,2.4027443,-3.8183703,-0.97744554,-5.2468033
-136.55319,165.99467,-93.72762,74.25287,-41.98803,-7.796219,1.5362225,10.845625,12.656336,1.5959849,-3.6074648,1.6348493,0.21179843
-147.67914,165.2825,-80.22108,95.59905,-36.211266,-12.0812,-5.5215397,1.5087655,2.790471,-3.7314878,-9.271025,8.17538,2.39129
-204.67381,160.84488,-50.339203,98.26961,-9.685822,-13.038586,6.405848,-6.982149,3.4274359,-4.6276016,-17.750576,14.097346,0.89301527
-324.79117,165.12518,-11.534902,67.59748,21.775883,11.045837,15.764523,-3.0782847,2.3994174,-1.0023538,-18.598366,1.291645,-8.616943
-403.02618,167.74724,23.278055,42.80933,25.79553,28.164364,15.5307045,8.568853,-4.90754,-9.976105,-0.78690577,4.21517,-7.9919653
-255.46419,151.609,-34.30377,69.35328,7.3075743,19.929182,4.958249,-17.7113,-7.096144,-8.231568,-0.65317047,-6.5708714,-3.9852786
-202.00256,159.46222,-56.093197,76.193794,-2.7693849,8.842738,7.728985,-33.038033,1.2140615,-13.531528,-5.8091555,-6.6367474,-5.6264286
-232.96477,167.77158,-49.787544,84.91267,2.9469695,-0.4185025,19.832796,-42.295246,11.987946,-15.426304,-13.256985,-5.0336037,-14.479406
-292.34332,160.22906,-20.771889,77.13194,17.786709,6.359329,21.309067,-15.791944,8.917691,-24.098497,-5.9014254,-1.6413839,-9.172258
-226.4651,152.85596,-53.61943,94.29181,-2.8987808,-3.5263896,21.954988,-18.541351,26.00627,-24.60255,-6.472864,4.7882805,2.2880452
-166.91591,143.80103,-75.720215,96.98854,-21.378115,-12.1187,20.560951,-14.573835,25.092922,-19.504835,-6.158448,9.733389,1.1521224
-143.86539,126.06197,-74.96408,82.65491,-23.896399,-18.348995,19.846264,-5.0342894,14.179773,-7.014702,-13.193997,20.355541,-4.4434834
-153.02852,119.63483,-81.07916,81.56592,-21.171703,-13.586319,15.020141,0.72674394,11.355969,-0.15405202,-17.865707,18.129036,-4.447825
-147.61984,122.57907,-69.200096,72.87665,-14.680308,-5.5048695,6.624542,-1.4992807,18.224827,-4.7564893,-10.431145,0.4978745,11.047807
-168.58176,140.17184,-43.650345,68.83379,-6.936534,4.1692443,1.5003027,-8.710033,19.406067,-6.901433,-10.621065,-8.183523,9.454685
-233.82758,168.55743,-18.742735,67.84895,8.820326,11.61763,7.808297,-23.050444,18.64927,-3.4848711,-17.280548,-6.5870366,-7.6001267
-209.0301,168.78178,-28.13625,59.00477,11.730949,-1.7316296,9.162762,-23.947598,23.825443,8.17645,-12.062476,-17.024485,1.137805
-201.02109,164.59537,-38.763885,51.045853,9.151613,-6.0175123,11.575467,-25.499846,31.933598,8.23269,-7.1046867,-19.619186,4.0087757
-240.29942,166.04184,-39.270454,42.87358,8.620748,-1.1692439,12.38822,-22.755932,29.145061,15.221929,-2.9867713,-19.204624,3.6327558
-317.15286,168.17752,-25.840572,34.944885,19.416777,1.8132441,16.680786,-12.146447,22.53479,27.47921,-7.547828,-11.30625,5.4343424
-401.41864,145.90091,-16.449942,31.899107,25.667805,9.747658,18.496464,-8.288201,20.943172,30.42609,-19.441042,-6.21025,17.87124
-498.036,114.99977,-3.976479,22.748383,23.387348,15.444255,14.4411125,-4.1691065,18.607487,23.343636,-19.123579,-6.901884,23.776657
