MFCC_1,MFCC_2,MFCC_3,MFCC_4,MFCC_5,MFCC_6,MFCC_7,MFCC_8,MFCC_9,MFCC_10,MFCC_11,MFCC_12,MFCC_13
-551.88074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-550.6541,1.7341647,1.732632,1.7300822,1.7265161,1.7219362,1.7163496,1.7097646,1.7021832,1.6936233,1.6840861,1.6735877,1.6621381
-542.01086,13.890207,13.689585,13.364695,12.92904,12.40021,11.798655,11.146336,10.465288,9.776278,9.097603,8.44416,7.8268337
-538.1662,19.280289,18.94054,18.392101,17.660307,16.778053,15.783413,14.717018,13.619295,12.527833,11.475121,10.48674,9.580281
-537.7035,19.930357,19.578297,19.009798,18.25085,17.335175,16.301832,15.192505,14.048702,12.909042,11.807051,10.76927,9.814169
-537.85956,19.742393,19.485172,19.064316,18.491207,17.780975,16.951862,16.024319,15.020153,13.961628,12.870569,11.767636,10.671652
-269.59692,88.794174,-90.00717,17.446907,-17.791725,17.921291,9.892353,-0.42215973,14.267944,-14.666916,-11.692835,-9.465656,10.167096
-128.57138,109.62895,-124.93804,19.214996,-36.25785,31.42981,-1.6113393,2.632315,5.8449116,-11.136766,-15.837542,-12.098283,8.888909
-90.86807,108.245926,-132.73767,17.04832,-41.19642,32.460793,-7.300831,0.25385362,5.3520927,-9.538934,-15.161013,-10.164798,10.983633
-95.06655,90.41411,-137.94998,17.65955,-38.922188,37.179203,-14.272892,-7.970498,2.2255635,-10.4088745,-15.664435,-11.3773,10.787213
-99.76192,84.538284,-136.34915,19.057365,-36.001984,28.605587,-19.338425,-10.107935,-0.41018495,-6.029638,-13.156195,-11.652813,9.404724
-112.49617,99.5757,-111.17787,24.92704,-38.601105,9.867741,-23.700891,-13.076874,-9.192509,-4.7522225,-15.439236,-7.6289234,11.537638
-157.6801,122.973114,-70.0155,29.526957,-35.744713,-1.7212355,-29.644201,-12.576312,-12.456536,-1.3978512,-20.464579,-8.381275,11.317985
-284.41718,129.28403,-19.9999,25.396877,-18.63076,-11.006922,-24.43481,-15.489321,-4.6836863,-1.7055767,-19.062546,-9.596501,14.388153
-362.57233,5.1487923,40.224194,33.41359,-9.392109,29.998802,-1.678246,-8.766069,-7.500796,-0.14473617,-3.060451,-12.923172,-5.4021997
-221.50241,-66.24626,39.037926,12.294897,-25.718628,22.167858,-17.828182,-6.240097,-10.40131,4.1355243,9.710884,-3.968995,2.85873
