MFCC_1,MFCC_2,MFCC_3,MFCC_4,MFCC_5,MFCC_6,MFCC_7,MFCC_8,MFCC_9,MFCC_10,MFCC_11,MFCC_12,MFCC_13
-600.8329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-599.6258,1.7037313,1.6936762,1.6769903,1.6537828,1.6241894,1.5884106,1.5466702,1.4992387,1.4463965,1.3884968,1.3258971,1.2589929
-586.4877,20.142029,19.71444,19.02737,18.116703,17.027988,15.812494,14.523012,13.209902,11.917754,10.683151,9.533319,8.486015
-579.16266,29.972776,28.152905,25.652308,22.910995,20.145704,17.392187,14.704107,12.284513,10.404403,9.183458,8.454695,7.8653684
-579.3587,29.624079,27.526405,24.445707,20.878345,17.32497,14.194597,11.752167,10.10168,9.191956,8.842523,8.794836,8.786444
-580.50256,28.120174,26.400295,24.00534,21.359022,18.731234,16.246115,13.996389,12.110182,10.694147,9.727715,9.045261,8.450181
-578.843,30.595158,29.1696,27.04401,24.506329,21.826838,19.20074,16.735329,14.475952,12.446074,10.674316,9.194563,8.025212
-579.2128,30.0084,28.437103,26.193542,23.676786,21.217773,19.010117,17.118572,15.528122,14.18858,13.037179,12.010805,11.061995
-302.31177,98.7058,-78.644,26.33042,-6.5643625,15.335371,4.556415,12.882927,7.936322,-10.432701,-15.308853,-6.9462004,20.560144
-130.25607,121.97236,-108.964355,30.18769,-36.322765,31.629955,-14.021944,16.808365,-1.9353404,-6.3843184,-22.714058,-10.707176,17.074455
-86.66447,114.77445,-119.3369,25.157227,-38.31514,35.361633,-18.559479,9.128922,-2.6824245,-5.488249,-21.882996,-12.575766,15.933258
-111.49235,80.47475,-123.605774,20.30933,-44.871292,38.220444,-22.844116,0.817875,-2.0115473,-3.9886477,-16.189325,-12.334905,14.3190365
-131.61288,63.84961,-117.983475,27.875332,-48.31521,35.88098,-28.50425,-5.4258804,-5.1420584,-4.000609,-13.461675,-14.469563,14.673256
-127.406494,90.992065,-96.90549,39.978447,-52.274704,24.198177,-37.9791,-9.751175,-10.516331,-5.071991,-13.190693,-16.679657,17.013973
-129.31798,89.47821,-40.954826,23.298079,-29.001846,-2.6990037,-31.616753,-11.873633,-9.945459,2.8783288,-22.084793,-9.613432,5.671076
-156.8821,61.017685,10.406123,9.457604,-14.97406,0.58921057,-22.63324,-5.869284,-12.097076,3.4651642,-17.74696,-4.7255764,-1.4543631
-224.45468,44.482544,38.78203,21.777401,-5.233953,16.250967,-10.902843,-2.6065361,-18.58429,-1.7020277,-12.786784,-5.062071,-11.727396
-330.44846,89.72355,29.242191,25.450249,14.578739,3.7764213,-23.699062,-12.614005,-19.944492,0.4592389,-1.3277249,-21.638372,-13.366886
-226.2913,115.95987,-33.999214,48.227104,-3.097176,-15.5473,-33.205288,-28.545101,-6.473442,-21.691881,3.7567286,-27.972092,-1.0551431
-129.11943,102.776505,-60.835846,68.572845,-30.394215,-19.028763,-34.268074,-23.36671,-0.7842027,-34.39349,10.333201,-34.16568,5.720666
