MFCC_1,MFCC_2,MFCC_3,MFCC_4,MFCC_5,MFCC_6,MFCC_7,MFCC_8,MFCC_9,MFCC_10,MFCC_11,MFCC_12,MFCC_13
-683.97687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-527.0937,32.452415,9.380966,23.51741,-6.023196,19.899277,24.280952,-14.840825,-11.27656,7.335583,-4.7070303,6.6196737,18.412407
-307.26495,24.330736,16.729881,17.909496,-8.249912,32.18153,28.39073,-14.853523,-5.224183,15.890354,-10.785717,10.960166,11.030422
-237.30438,26.22503,21.046093,16.05964,-7.3009744,33.35279,21.371565,-14.743863,-4.2700133,8.163278,-15.290699,12.471062,-1.6446102
-200.34077,66.47179,30.831703,15.865141,7.5199757,27.016644,-0.7145776,-18.598568,-13.109537,-10.3571205,-25.765568,-0.77585965,-21.041649
-175.24837,82.97357,12.483252,13.909612,45.765823,2.4512136,-22.151329,-7.8805814,-23.002325,-23.54281,-19.436287,-8.713776,-17.480387
-169.76115,74.466385,14.517193,25.590826,51.209282,-14.028018,-27.405796,1.7994208,-25.025871,-33.361885,-17.92506,-4.9952564,-19.06366
-173.88841,34.772278,53.038055,51.574913,40.513763,-10.404318,-22.38348,11.40186,-20.95372,-42.321106,-9.333909,-4.8769245,-19.843807
-163.92815,-23.1343,82.68237,49.342957,32.970337,6.5811443,-13.686874,12.695934,-5.0225267,-35.114967,-14.104523,-4.7895613,-16.171429
-175.7859,-57.6414,65.58298,22.469564,14.59976,16.428732,-3.8590055,10.487526,7.844822,-15.597734,-12.173776,-0.7302681,-3.4621859
-230.08414,-57.021893,48.43048,17.064894,3.4560976,2.6823366,-16.449387,0.8226067,3.8845205,-15.694559,-11.055517,0.37485787,5.813168
-289.35245,42.27268,23.72171,-4.0423307,-1.5312269,-3.3755338,-22.66372,14.906843,9.932453,-4.9385037,4.025329,3.9571445,-2.8901536
-191.56017,128.45355,-43.25336,-10.886639,27.7902,-34.782066,-0.2665403,12.658953,-8.789125,26.712746,-26.56094,18.256767,-18.19115
-133.44635,120.75424,-55.935688,2.8890786,20.175184,-23.267948,-2.275853,10.376687,-7.073774,17.684427,-25.49791,12.310596,-24.289528
-128.07626,117.35423,-51.74282,9.589567,16.754759,-8.664988,-5.6832285,8.922657,-3.7475772,13.636185,-23.341251,4.7291455,-23.79923
-127.12279,138.35262,-42.268997,16.518394,5.3353987,-9.026429,-18.31073,1.4288676,-0.3353848,27.181978,-16.267735,7.55298,-23.93121
-155.15897,155.45831,-38.28209,29.293926,8.131101,-6.8682585,-26.080795,6.651084,-2.405953,32.18665,-14.7063875,11.042706,-28.693867
-253.25615,158.28885,-18.061588,33.84365,25.937508,-4.2215314,-17.165854,8.778869,-5.5307875,23.433802,-9.399097,7.067497,-15.205479
-326.34418,177.24257,9.697638,30.84988,38.845047,3.1899998,13.218297,-7.917031,-14.906543,-7.042711,1.4770136,8.93699,-26.77961
-229.7286,163.86601,-1.1756053,25.545033,25.516003,-2.4352381,4.4176726,-31.176487,-6.6492143,11.368491,3.1382139,14.249054,-30.01437
-173.5027,150.42352,-13.955109,12.355526,6.731905,3.818613,0.91905355,-24.7939,-9.341476,20.72324,8.694169,17.444132,-27.540535
-165.51915,155.38876,-17.934902,-0.07162976,-10.995989,10.848254,7.928707,-14.806652,-13.742646,18.62997,8.494043,23.562809,-24.02687
-204.31049,174.77814,3.8039,-7.701583,-26.50946,6.372999,17.34962,-1.021528,-14.330645,8.815319,0.08132422,24.649048,-11.454866
-272.8433,185.34152,24.373241,-10.833908,-22.64663,-2.2137876,16.39724,9.316416,-4.883201,7.687527,-7.622447,15.353883,-1.9145603
-352.70358,181.52754,28.365833,-11.465113,-14.358699,9.262032,16.66841,9.987361,-1.1671365,1.0287917,2.4982374,6.4499416,-2.0740104
-399.88852,135.72206,-11.828843,-3.464577,17.33117,19.796345,2.5050728,3.0554662,10.044675,0.55496097,5.206333,0.5768911,2.8392875
-316.357,82.62679,-42.43338,-2.8943796,27.096024,11.560452,-14.990442,-16.93908,-0.8784799,-2.4267473,5.234191,0.109181486,8.694763
-301.47797,76.2755,-38.09086,5.0927672,31.37101,5.686885,-17.563015,-15.337927,-1.3166556,-2.544799,2.6792455,-1.6808028,13.020533
-380.96353,62.612106,-31.742855,26.877289,34.36785,-6.953565,-26.529358,-9.514912,2.08516,-3.25201,-4.038252,-4.898008,8.970702
-485.8388,85.122925,-30.241644,26.03756,32.833694,-0.6021685,-29.8664,-0.21868788,7.4425917,3.977322,-5.20972,-10.202766,-9.747644
-607.93646,60.617165,1.7680719,13.453224,33.28839,5.956704,-16.903084,-1.9459963,13.830648,9.149538,-2.6418476,-11.309148,-10.913133
