MFCC_1,MFCC_2,MFCC_3,MFCC_4,MFCC_5,MFCC_6,MFCC_7,MFCC_8,MFCC_9,MFCC_10,MFCC_11,MFCC_12,MFCC_13
-655.06384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-422.80057,68.53584,34.794216,9.609411,-8.98049,20.22393,2.8658195,-10.46564,10.775794,-0.5034783,-7.3330865,1.6140678,-2.176789
-285.78674,47.95532,27.327324,2.997034,-0.4980141,26.79802,1.8502998,-16.33973,8.300903,2.8531847,5.326621,4.296286,-3.162171
-245.83035,55.787395,34.230453,4.705192,3.7854223,24.875957,-8.039935,-21.117626,1.1836379,-5.666086,4.327775,-6.2922297,-11.067007
-195.64903,71.56678,18.984274,20.056332,-8.680042,-9.166116,-36.14157,-20.88594,-5.750849,-30.094227,2.7115333,-2.155604,-14.89148
-172.27788,53.528572,0.4497971,47.68482,-18.195473,-33.321133,-27.553185,-21.62054,-14.03583,-34.430527,16.202808,-15.433998,0.2206034
-194.7352,29.052637,2.178892,60.20842,-37.275406,-43.1493,-12.168716,-13.48224,-18.50384,-39.15634,14.599833,-27.328785,8.032914
-199.34265,43.492485,13.806911,67.776855,-47.942505,-43.07749,-10.293873,-18.519594,-9.436806,-40.85685,3.436998,-35.706528,13.074751
-178.25525,57.243076,30.811293,70.31387,-20.655571,-31.874516,-16.2152,-22.84076,-21.711569,-25.009975,-5.7196655,-32.580833,-1.9846972
-158.20099,40.101265,60.715347,51.59442,16.138325,-29.685818,-18.689835,-8.756957,-33.660927,-21.041962,-13.826057,-17.571857,-12.671087
-166.34715,24.505585,75.989746,14.338718,36.627647,-24.867563,-32.800667,-2.722034,-23.647177,-13.517824,-7.241998,-5.9268246,0.120455265
-160.13629,46.010822,53.800377,-28.043613,14.449459,-21.93227,-37.056957,-15.321376,-1.0434113,10.672324,-6.4883585,3.7182543,10.240511
-167.52177,83.05047,-4.0290213,-21.27317,-11.9682255,-26.402496,-21.157454,-6.8359065,8.55991,5.7558613,-13.001362,2.303824,6.1330194
-120.062294,117.311005,-55.702362,0.72478753,-23.511684,10.373397,-10.906878,8.806933,6.4997506,0.903733,-34.236946,-1.7869451,-3.29318
-86.619484,113.33666,-52.60618,-3.4273694,-16.414207,15.422699,-4.65492,8.72599,3.8185909,5.9351482,-41.156605,2.1422753,-9.401726
-102.42878,101.88722,-50.556618,-12.797252,-17.324326,18.072502,-9.797683,7.264292,-4.330967,10.161764,-42.37495,6.363463,-13.993087
-135.33806,103.09357,-21.326885,-1.8106606,-15.898042,16.410397,-12.102665,-2.9767985,-4.0215425,2.6613324,-39.739754,3.45789,-9.288157
-195.7079,101.269035,12.619175,20.856367,-13.126053,12.061676,-4.340446,-10.701423,6.06703,-4.3480835,-25.266476,-1.521121,-1.6241183
-283.51328,93.82965,28.201199,47.67735,1.6341375,5.986393,-3.3512208,-18.12479,9.1669445,-0.8483181,-19.97284,-3.7049518,-1.294671
-365.83862,130.70163,24.80995,41.537395,6.8132896,-1.5290198,-8.200956,-2.1584969,7.870288,-3.2125049,-20.116995,-19.654047,-5.612726
-280.9908,131.33832,2.2974744,55.018517,-6.1157885,-10.030666,-19.133053,2.267836,1.6830068,-22.165972,-15.524926,-9.428526,6.3965645
-218.1,109.73577,-6.423671,52.5162,-11.975984,-13.7939625,-23.318111,4.7078276,-3.3348489,-25.09705,-5.6905146,-7.31951,7.688933
-197.6952,95.60028,-18.15564,38.359062,-3.1483138,-9.002768,-20.557758,5.8251667,11.483387,-8.512478,0.55430484,-9.309212,6.6395855
-198.01839,102.533745,-23.796425,10.874049,-4.3964176,10.613747,-8.499106,-15.184107,17.528496,3.578386,-0.028962731,-6.49688,-10.860836
-222.97687,126.20079,-18.822899,-21.792995,-24.620361,26.066708,-0.9741279,-32.862926,9.531641,-2.124217,-8.578778,8.364918,-26.646656
-252.08261,153.18571,10.084301,-36.459915,-37.683487,30.353954,7.201983,-25.974304,2.741117,-21.931381,-13.234629,23.046623,-34.27565
-306.26178,163.6623,41.61837,-27.66812,-46.561817,31.20742,5.339732,-13.242707,0.012648355,-34.550606,-14.636785,17.204044,-20.367878
-361.0115,133.51225,8.082807,12.183229,2.3917024,-0.72570634,-14.075345,20.047325,-11.611673,-28.610497,-9.884135,5.648638,-2.337149
-314.73322,83.803185,-28.026928,9.359853,25.158237,-6.657386,-25.290123,31.190136,-14.18038,0.71200854,2.4879556,6.2911344,4.9326515
-326.89212,85.440765,-23.81562,8.793727,27.167618,-6.744992,-22.269234,32.76651,-13.368941,2.5628288,7.046078,11.278671,9.300283
-490.86804,73.81247,-11.739596,9.640226,25.817719,-4.9002094,-13.992147,29.311928,-5.5640454,-0.3744213,12.930859,18.408653,12.644102
