MFCC_1,MFCC_2,MFCC_3,MFCC_4,MFCC_5,MFCC_6,MFCC_7,MFCC_8,MFCC_9,MFCC_10,MFCC_11,MFCC_12,MFCC_13
-663.84564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-663.84564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-375.52826,61.707794,-16.145895,3.769543,7.2799387,0.23070416,-7.299929,7.147518,-11.702126,2.0468798,10.287109,15.662119,-4.0835004
-218.9204,113.66748,11.75263,15.028107,-7.9112177,0.879253,-17.167927,-4.3825383,-20.575289,-4.643498,2.9411712,15.739958,-7.661213
-166.64804,138.01512,2.9384735,19.221039,-31.969994,4.378773,-11.3518505,-12.630992,-28.417307,5.216797,0.20942038,6.6239614,-4.9481936
-176.89503,134.5675,-19.353992,38.23516,-42.515152,-4.196458,-6.2703724,-15.226898,-33.208035,3.5637968,0.49222034,-6.1287346,-0.43128413
-202.85605,98.46709,-22.695045,66.3624,-6.9785624,-29.342697,-13.093313,-14.894059,-37.14749,-21.522434,-9.545069,-15.946399,0.8981323
-215.21481,59.654633,-12.123217,89.31524,9.294873,-21.187923,-8.582529,-23.24785,-47.316475,-29.69505,-2.6208317,-20.28592,15.983407
-212.91411,53.024193,-12.761814,82.78,-13.974068,-19.531914,-3.0122807,-29.240772,-41.268135,-23.251324,6.610572,-29.863459,16.884663
-184.70367,71.27048,-25.498047,63.366158,-27.360569,-32.36174,-18.942913,-19.21796,-31.805767,-20.31052,18.161919,-24.640072,17.96732
-151.4168,83.59747,-57.08508,37.08619,-26.679962,-24.109295,-26.882078,-5.921316,-13.614223,-15.883135,17.703875,-22.728676,16.685349
-132.36098,80.369934,-79.49873,12.337089,-20.978882,-3.663166,-21.044537,0.2880025,-7.006814,-5.240023,3.985962,-22.576725,2.9684565
-144.80484,86.184944,-82.854004,-5.6424503,-25.672709,9.853096,-17.606998,-1.830044,-12.712795,1.8713641,-7.105404,-22.740028,-8.611307
-172.02783,100.38991,-82.628204,-2.7275145,-26.00331,14.835119,-23.63065,0.76105857,-23.477013,7.4680147,-11.5417,-13.88204,-20.660536
-203.75551,123.43024,-67.00615,7.356813,-15.88703,9.162882,-22.837341,-5.5016794,-20.545345,10.724155,-16.70433,-3.6531777,-21.562761
-247.85265,120.57262,-22.440783,20.64759,-7.593586,6.270709,-13.251036,-15.694214,-6.493388,4.0158124,-14.586708,0.5433692,-11.497805
-287.0047,101.309746,32.59443,46.603317,-13.437057,13.37232,-10.353749,-19.749079,-11.761143,3.3545327,-17.748857,-0.30374908,-10.508336
-277.62985,89.10831,61.70672,48.431824,-21.965034,3.7583194,-1.5476977,-20.519459,-24.376833,6.2405925,-19.070824,-9.530222,-4.0926733
-234.54312,62.040936,55.9209,74.27496,-13.294346,1.5254927,3.080747,-27.813648,-28.805302,3.8601866,-9.143263,-13.464101,3.7507548
-216.62398,59.756123,51.61747,86.425095,-22.385437,2.277264,3.6504273,-36.78404,-20.134706,-4.603967,-4.853293,-21.76022,8.567347
-252.0227,79.60636,46.830185,90.539444,-36.79241,3.1181943,4.380824,-42.76219,-12.296843,-9.607145,0.95887035,-31.31657,16.41887
-292.5639,104.90701,46.602173,94.13349,-31.105114,2.2364092,8.433122,-34.614197,-20.67741,-7.30239,0.97083545,-33.294342,19.448133
-285.7993,82.78366,72.82341,75.5022,5.6482654,-11.856369,5.917042,-10.985829,-37.926178,5.6072016,-12.237376,-16.33905,5.9718823
-287.2677,38.964733,92.579254,44.94373,41.83145,-12.357073,0.075982094,-3.321455,-33.31035,-2.495607,-9.321217,-1.078455,-9.906799
-332.35886,-20.183926,82.36827,10.281545,53.090313,5.056691,7.50878,4.0355663,-21.093124,-2.822092,-3.6576962,1.8511714,-18.171934
-371.93808,-68.872665,59.496273,-22.989635,44.59581,11.135288,6.795149,7.3564196,-8.350924,7.739565,4.7897115,9.448069,-6.2333684
-317.27277,-72.32622,35.624725,-31.865322,36.420597,1.5958741,5.3565087,4.666603,-12.891706,9.476738,3.495039,17.302202,2.0924616
-293.06787,-70.46237,35.630466,-27.260479,31.526917,1.2248249,6.9639626,-0.07247841,-16.141174,7.8743906,4.6989784,19.559902,7.060076
-339.76294,-67.11476,44.38744,-20.83182,27.944069,7.9114685,9.030975,4.834158,-12.022328,5.7092285,4.9843907,14.716069,12.843674
-449.99896,-56.505512,69.17705,13.554398,12.212006,23.84616,9.917875,4.0872426,7.0851173,-5.486967,0.009785533,12.823856,1.2629131
-347.3109,-81.324295,28.860762,49.80645,-22.900293,40.21754,-1.6506948,4.829734,-8.018681,-9.317965,0.35844567,20.776924,-21.30329
-284.10553,-86.16803,10.745771,39.15114,-21.241508,32.983788,-5.9774804,-0.6709269,-8.0162325,-12.143522,6.2820387,23.02169,-14.575846
-288.46393,-64.68678,3.4500837,36.87858,-14.49539,25.114283,-12.846508,-5.3684688,-10.974617,-12.632074,9.154013,21.444298,-10.462358
-356.7602,-32.684586,4.356126,41.55932,-2.5173335,15.326548,-21.015945,-8.317724,-13.100509,-11.608353,11.060241,12.913151,-10.442282
