MFCC_1,MFCC_2,MFCC_3,MFCC_4,MFCC_5,MFCC_6,MFCC_7,MFCC_8,MFCC_9,MFCC_10,MFCC_11,MFCC_12,MFCC_13
-633.3388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-625.59906,10.914721,10.822263,10.669434,10.4580965,10.190828,9.8708725,9.502094,9.0889015,8.636216,8.149345,7.633953,7.0959387
-514.5163,62.314674,-35.79238,3.1207523,32.103474,-1.1587437,-11.055079,11.00415,11.148594,4.579116,7.8767247,11.689486,-0.53517354
-296.1144,56.16916,-21.778744,14.712372,20.87844,-9.047283,-14.856829,9.42868,0.81374586,3.4816778,0.23844808,4.3342276,-7.740566
-218.2925,45.920204,7.993818,35.822838,14.700029,-5.342719,-13.933483,7.463935,-3.011518,1.3617289,-5.798385,-5.132149,-11.57118
-221.20955,41.467747,31.922024,56.705162,-0.7598039,-8.011459,-10.278379,-2.6106563,-17.42911,-2.1801872,-11.19,-13.9284115,-10.820834
-215.93631,52.134,29.91707,70.42928,-14.538717,-18.65838,4.022258,-19.08091,-30.046833,-3.0147665,-12.072926,-19.390265,-7.2697177
-211.44034,38.390205,32.648308,83.82007,-14.076784,-15.679168,8.832726,-31.776592,-24.061054,-6.2086554,-4.8712397,-25.819065,3.6103215
-206.52419,43.803444,21.640606,77.93741,-18.129942,-25.746798,-0.059935242,-30.708817,-25.832645,-8.528118,7.588291,-27.21315,4.5848904
-206.89745,74.974396,1.914166,56.413345,-20.008915,-38.37842,-13.957996,-13.646694,-16.959484,-14.10757,14.686901,-29.453943,4.852255
-208.13556,88.37514,9.490543,43.027794,-9.735308,-35.55394,-25.274036,1.2627587,-12.755936,-8.714485,2.3026252,-14.256405,5.8548145
-220.62857,64.74693,26.80141,44.59854,-1.6589205,-28.094814,-16.262333,4.4241514,-22.513279,3.2548103,-10.715572,-5.523452,-0.7986843
-263.7484,48.932625,38.85226,63.5764,6.1763515,-11.268322,-8.548758,-7.040602,-30.385002,-2.7986,-21.22285,-17.95528,-4.641067
-305.20566,90.148186,57.36561,87.3078,-4.463127,2.1444387,-4.809633,-20.526846,-13.193552,-2.717324,-27.237377,-32.249874,-1.9085763
-297.42923,87.26707,63.568527,77.39567,2.4048085,-11.084462,14.333033,-17.157707,-18.06982,-3.1407318,-9.353737,-24.80386,-17.05689
-298.76733,70.9806,57.89897,66.5288,-0.17473954,-11.158217,19.54824,-10.991119,-19.246315,9.500021,2.91117,-21.084496,-17.304157
-352.4614,61.11328,72.11714,79.76378,1.2923784,-4.5503035,23.969658,-11.3594,-20.52039,15.757666,-6.8590717,-16.000378,-11.774399
-408.87146,58.33897,92.483,85.94635,10.92691,-11.326653,24.466387,-19.02744,-15.151421,13.292778,-25.745285,-0.29018965,-0.1568912
-363.56042,30.577343,75.36087,66.326294,40.78732,-16.366129,31.39695,-2.3824344,-29.587305,1.5633143,-7.897278,-2.361318,-15.925312
-288.98712,-8.840902,58.300915,43.967484,48.24225,-4.5100756,24.635933,20.75742,-21.016687,3.809363,-0.2519791,3.403546,-17.59858
-265.26044,-33.344772,36.096657,14.486422,39.29591,4.136637,4.4779606,30.543766,-16.726425,19.260155,1.2281206,8.519791,-9.982452
-284.12766,-41.66196,20.171192,-16.228903,23.837257,14.488221,-14.240868,30.845894,-11.866377,31.026926,-3.9401836,16.84024,-2.603492
-338.55814,-36.251472,12.603428,-13.786491,15.105689,18.479122,-21.8294,34.667007,-12.617359,35.260635,-14.087877,25.929491,-6.362487
-481.4333,-36.456024,31.972647,3.6123276,30.694176,18.039902,-10.420179,36.10312,-11.277448,27.696636,-10.373301,25.398209,-3.821236
-383.14014,40.372482,12.469101,25.373905,-4.8402605,-4.7242336,-18.288805,17.632982,-5.810508,12.909862,-1.8313322,11.967582,7.851904
-325.513,40.975166,11.6456375,24.84402,-4.4593563,-6.321953,-21.458805,21.910133,-1.1158619,13.589739,-3.9229147,10.177172,11.786254
-390.23602,36.040638,14.049719,21.906008,-1.6710006,-6.90251,-21.128841,25.272568,4.7813864,13.543478,-4.028846,8.830015,15.927428
