MFCC_1,MFCC_2,MFCC_3,MFCC_4,MFCC_5,MFCC_6,MFCC_7,MFCC_8,MFCC_9,MFCC_10,MFCC_11,MFCC_12,MFCC_13
-604.52814,7.8321085,-8.589841,-15.736147,-6.574706,8.685177,14.130217,5.051567,-8.066579,-11.7248535,-3.5141811,6.8094473,8.869167
-334.55484,79.69806,-81.07989,-15.849335,-30.396454,17.015604,-3.901299,13.168959,-10.860416,-20.081741,-17.740715,-7.1041465,7.166374
-152.78401,108.50032,-104.10953,0.4044004,-44.91975,21.744131,-21.01535,18.746666,-15.278013,-14.121142,-21.62183,-7.666191,4.752619
-119.18574,107.613785,-103.436844,-6.0929213,-42.748444,18.222057,-24.248558,16.94027,-16.140364,-11.579557,-25.45213,-5.527393,1.3348482
-171.98372,103.45003,-84.6192,-29.859888,-37.23674,6.5375814,-28.912254,7.4632235,-14.282678,-5.8220816,-28.772007,-5.63973,-0.96383786
-252.25282,116.443436,-42.414146,-49.24049,-32.105633,3.5507078,-29.681591,-9.913401,-19.032093,6.83998,-27.793283,-12.017437,-8.963686
-289.74704,141.46945,-13.453758,-56.785835,-38.567707,8.7006645,-22.20442,-2.0508027,-31.496632,-18.62753,-4.651354,-10.065384,-17.642246
-255.56769,137.66296,-40.636433,-61.29425,-24.557014,25.147125,-37.346836,-13.519644,-22.087126,-22.514317,-7.521755,-12.231326,-22.730843
-214.50136,110.460144,-70.21514,-45.495888,-12.977501,30.129366,-55.65338,-17.431463,-5.0855045,-21.901012,-20.438534,2.122542,-31.748507
-185.3905,100.80594,-62.869972,-14.45773,-18.39858,7.642338,-69.68538,-20.398495,-9.521582,-24.35683,-24.335346,4.0683146,-30.051304
-154.07994,74.51947,2.5665646,4.753571,-16.874073,-8.973933,-51.26011,-5.7848263,-9.388561,-28.270489,-11.142378,-9.471876,-10.289404
-133.74548,8.546396,53.301743,18.32649,-34.637352,-2.4654715,-23.311539,-5.7432384,-11.2866335,-19.744282,-9.013926,-16.898432,-2.6227405
-148.65399,-51.950665,45.744545,35.644188,-38.682556,2.009886,4.415112,-2.0069928,-14.500561,-22.059206,-4.5397043,-12.8024235,-10.687338
-164.66402,-49.159924,42.75455,49.478634,-32.37789,-2.9926915,-1.6730349,-16.546246,-29.403849,-26.794575,-2.5673137,-12.800505,-16.156523
-211.52605,-10.101833,20.98182,50.958748,-24.282845,-11.9821205,-5.7019625,-15.399605,-35.47962,-24.613392,-1.5710049,-18.836975,-13.454743
-235.15918,72.976715,-25.668072,37.3525,-23.27478,-21.028381,-17.500465,-7.211964,-31.459032,-8.568392,2.8173542,-13.047075,-0.12129286
