MFCC_1,MFCC_2,MFCC_3,MFCC_4,MFCC_5,MFCC_6,MFCC_7,MFCC_8,MFCC_9,MFCC_10,MFCC_11,MFCC_12,MFCC_13
-539.3836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-539.3836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-529.36975,14.092978,13.889858,13.561214,13.121128,12.587893,11.982714,11.328265,10.647163,9.960505,9.286623,8.640068,8.030989
-524.72253,20.569805,20.08636,19.309004,18.278202,17.04654,15.675045,14.228991,12.7734585,11.369092,10.068198,8.91173,7.9271154
-525.29297,19.790789,19.388409,18.739271,17.87418,16.833412,15.664194,14.417702,13.145906,11.8984585,10.719809,9.646798,8.706814
-524.7958,20.45051,19.924591,19.09059,18.007298,16.747707,15.391325,14.016211,12.691827,11.473583,10.399502,9.489414,8.746296
-521.17694,25.364834,24.245598,22.478302,20.199715,17.581776,14.814768,12.089182,9.578243,7.423011,5.721491,4.5228176,3.8268116
-475.13275,77.909706,50.140224,28.68367,22.607327,22.175571,13.368864,-4.8241825,-19.790367,-20.257223,-8.797746,1.8211558,3.1092882
-357.43372,161.7855,18.44414,-11.187252,26.89912,26.089409,-14.241645,-23.110703,-16.68686,-24.950695,-17.673721,-1.9107219,-1.3593138
-272.94745,153.78639,-22.655739,-4.575216,27.470444,17.523766,-28.00307,-40.649315,1.0823305,-28.535114,-17.107649,-6.8348937,-0.86372465
-231.51402,117.032265,-58.71269,13.283375,24.808973,-10.403902,-31.758007,-41.408417,5.795475,-28.158207,-6.6011553,-7.8608336,-3.4280136
-214.06203,105.52922,-56.428978,39.823845,22.927921,-17.93208,-37.295677,-39.347385,5.07495,-36.66333,-9.435534,-12.861387,-7.4958344
-219.71042,116.50215,-32.050716,45.835777,15.298265,-17.51384,-42.07717,-36.611897,-2.2531223,-41.104916,-16.950155,-20.90894,-14.733408
-254.46039,117.78972,-7.683256,35.18396,21.623932,-13.242678,-36.211823,-22.127327,-13.233988,-30.25653,-13.511265,-27.504286,-18.750063
-189.7989,103.48454,-26.169714,51.576973,5.081891,-14.61297,-39.276817,-19.176348,-22.557102,-43.003227,-1.8149271,-26.810322,-0.043093383
