MFCC_1,MFCC_2,MFCC_3,MFCC_4,MFCC_5,MFCC_6,MFCC_7,MFCC_8,MFCC_9,MFCC_10,MFCC_11,MFCC_12,MFCC_13
-619.397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-431.9302,167.84734,28.131187,-7.3533106,22.204708,21.2664,-10.156158,-12.10676,-17.927485,-22.041903,-9.576752,0.5431967,-9.986753
-320.6961,189.75552,3.159431,-10.748555,22.915895,21.196423,-30.861004,-6.640957,-19.356339,-20.155071,0.25369608,0.3832425,-15.924913
-232.36319,166.03842,-30.686455,7.2371597,3.0667968,13.230743,-53.6448,7.232133,-17.83781,-17.253052,7.10032,-7.4988894,-8.210011
-199.48264,133.25804,-58.185734,32.151283,-13.157952,2.9226491,-61.48272,20.574593,-16.377464,-17.724792,4.0552015,-11.15264,2.7378829
-200.34988,112.403946,-57.12507,46.43288,-15.200742,-3.7944288,-55.641083,24.823952,-15.214584,-20.14537,-2.5100365,-17.437275,3.8032525
-229.4602,124.639175,-30.133102,48.64864,-10.191349,-5.97373,-47.081886,12.446272,-14.04917,-21.30632,-10.899517,-27.045887,4.2297726
-305.96194,145.0577,-3.8307757,41.3873,1.8975914,0.3412637,-23.741882,1.9712988,-15.525226,-12.610304,-16.555237,-37.785133,9.20298
-275.51205,139.15143,16.51606,27.718754,1.626059,-1.6077522,-4.9589906,-25.195475,-8.076714,0.14343971,-11.603672,-16.442764,-11.19169
-235.21689,131.35544,12.559794,19.02688,2.513951,-4.6661425,-11.239711,-34.881874,1.5624458,-7.6985793,-10.401453,-20.260582,-7.2189064
-244.48347,123.41362,2.4066963,14.812082,0.5105009,7.689875,-17.417759,-34.817577,-1.5736599,-8.173164,-10.41531,-23.519623,1.705775
-254.55695,125.30937,-4.8448033,12.194073,-9.587114,20.62558,-20.327662,-43.076324,-3.143805,-11.583035,-3.6748836,-21.18443,-1.6556308
-261.51514,123.452156,1.0806191,2.6767879,-14.725826,29.988003,-17.868355,-44.43219,-3.6998262,-17.607475,3.6867516,-17.513552,-5.2523394
-268.6771,122.13089,6.195964,-3.5147984,-17.77431,26.361698,-10.016507,-48.204285,-13.562681,-20.997738,2.4792225,-12.56267,-1.463455
-275.18497,115.40757,13.31172,-2.6657727,-16.805424,17.237144,-4.7090273,-47.993378,-17.042131,-25.9141,-4.0680017,-7.993341,-0.85798246
-263.46066,105.52144,19.20885,-0.5901492,-8.459617,5.955816,-8.047924,-34.556168,-14.042637,-25.43457,-7.8819675,-3.9534185,-11.701227
-218.25346,99.030495,0.37284803,25.664719,-14.206869,-18.875277,-11.96684,-4.340238,-2.4650552,-13.933689,-8.23852,2.5586848,-23.10082
-162.74411,104.46367,-35.871964,23.005524,-32.093807,-14.465151,-17.414253,5.433361,-3.652697,-9.162281,-15.044163,11.426817,-34.47605
-133.13448,101.06148,-70.57373,12.291615,-32.67813,0.2162993,-21.319496,3.87793,-1.9093356,-6.8306103,-21.551258,11.446354,-38.587555
-120.38277,98.44814,-76.31564,0.39021838,-13.383913,10.341393,-10.473843,-3.8565803,8.040774,-9.521139,-22.47947,3.8852043,-32.63561
-145.96707,112.856995,-55.692047,1.3518207,0.35212213,23.144724,-8.512005,-1.1412648,16.978874,-6.1289635,-19.846424,5.046871,-26.392025
-231.284,110.12861,-19.899265,4.4908166,13.932745,15.14744,-1.2367784,-1.4226635,17.824287,-3.19962,-16.17176,-0.59925175,-16.280113
-214.54741,121.33661,3.9340837,7.074952,-0.63012993,-9.716171,9.858815,-15.030331,16.361982,-11.874109,3.639635,5.9849606,-1.0660356
-180.54329,159.88094,11.630539,-12.038742,-25.335306,-6.7592115,13.782097,-16.456364,15.293044,-21.115334,3.926556,14.772202,-6.778754
-223.75696,187.41609,15.27709,-30.332565,-59.4581,13.618961,5.1687765,-17.318748,11.432517,-25.319141,-7.6301622,26.875074,-26.863304
-245.90948,195.758,17.635567,-37.215607,-70.78519,9.653829,0.42348576,-12.37761,7.7050486,-29.028091,-11.81237,26.609558,-39.601814
-265.30728,206.35751,32.297348,-38.065823,-69.204895,2.8153825,6.0831275,-10.746443,10.736875,-29.066906,-10.017231,25.377342,-40.099045
-287.5126,211.15833,43.49478,-40.23733,-59.97136,2.2646375,7.0009475,-1.289674,15.615661,-30.275572,-5.158862,14.2289915,-32.405434
-327.12082,209.7078,51.280087,-41.585743,-53.42146,6.3877754,3.0094302,0.26866388,14.690936,-30.454151,1.3647971,9.59532,-29.990917
-412.17422,187.62965,64.36811,-24.160652,-55.932816,2.3455374,4.6872835,1.9315896,14.560802,-21.901546,2.542739,2.4963565,-17.472496
-525.75354,103.71634,46.76093,-5.5471735,-29.586185,-17.214272,-0.16285074,11.225372,12.810076,1.4532154,-4.082159,-6.8061676,-3.051103
