MFCC_1,MFCC_2,MFCC_3,MFCC_4,MFCC_5,MFCC_6,MFCC_7,MFCC_8,MFCC_9,MFCC_10,MFCC_11,MFCC_12,MFCC_13
-600.5299,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-474.43982,133.77081,52.71767,13.152031,17.757744,21.993748,6.634163,-16.062033,-31.86464,-33.389046,-19.262077,-1.569094,2.371189
-308.53125,190.52206,-1.2124614,5.687153,33.55665,2.6530788,5.083996,-37.266354,-27.258339,-32.27427,-22.10204,-4.424982,2.1534364
-251.8635,182.23734,-17.558874,3.6143029,48.76052,-17.827332,1.7660401,-41.362305,-27.039764,-25.935707,-20.003712,-7.4942346,8.025148
-259.01212,138.34708,-23.97993,17.803581,40.375404,-24.904673,-16.32576,-39.783188,-26.023182,-12.053768,-15.444373,-17.083546,14.158492
-277.78677,129.2721,-1.6068281,36.012527,22.87879,-26.591633,-38.504845,-42.696518,-22.273575,-9.426061,-21.756138,-30.97733,3.0234418
-308.5183,127.84169,25.802044,29.540745,23.528744,-9.571808,-33.696457,-26.200878,-19.289747,-7.45282,-19.014793,-28.154251,-2.1285996
-259.23383,117.12053,8.143531,32.77856,24.776676,-13.567309,-23.641132,-17.732502,-1.892801,-16.621592,-19.413403,-13.95583,6.0005455
-236.72783,101.903175,-4.5272202,42.95341,23.16507,-26.928112,-16.893564,-23.765009,1.8172522,-27.137682,-13.463692,-18.58668,17.485142
-253.53549,54.582928,-3.31174,61.239502,20.698065,-37.60256,-15.161491,-30.19284,-9.138571,-34.054955,-4.1434073,-25.202877,19.095064
-254.50975,44.02553,-2.3700452,70.53251,18.664566,-30.10925,-15.944794,-34.338722,-19.763561,-27.724327,8.21269,-26.678186,16.747913
-257.31,57.357742,-8.072382,71.500305,13.394601,-24.88697,-14.732096,-24.856771,-18.863413,-26.418415,7.1572747,-27.179743,11.4474945
-255.89876,72.42954,-1.9429035,54.319904,9.909161,-23.975792,-18.426544,-12.455649,-16.104668,-28.669876,-11.370775,-22.46801,6.7757053
-285.35803,72.511505,10.990391,40.19095,16.420105,-13.286951,-18.284851,-5.081082,-12.034501,-20.331657,-19.016579,-17.571363,9.025428
-387.33914,62.794235,23.61209,38.01805,20.671291,-0.6854272,-9.407141,0.80168724,3.041226,-8.3336315,-13.91123,-14.636326,7.7489567
-531.66174,61.324158,27.275331,34.806236,34.229614,14.838735,2.5039158,-2.1712582,7.398707,7.252097,-10.78391,-11.943758,6.1210375
-324.30975,124.940544,20.328585,25.256165,-2.5917473,-17.686485,-21.191628,-25.716492,-14.529524,2.1237082,-25.193226,-19.532314,5.1890116
-239.48184,130.97137,10.173916,25.653797,-18.209604,-18.159763,-24.90384,-21.12285,-13.695252,-7.325725,-26.32423,-18.718754,9.958403
-245.59889,131.74191,5.41846,26.729595,-20.58564,-14.281925,-25.27357,-14.489217,-14.215303,-14.148832,-26.709518,-15.805833,8.828268
-242.95618,121.26312,6.49245,26.72979,-14.551546,-7.595551,-11.863686,-21.09444,5.982914,-26.935238,-24.1198,4.948241,-8.083317
-223.5703,103.0569,-14.298073,13.600489,-13.085321,-6.4128046,-5.6810274,-30.26963,24.003923,-22.900385,-22.550938,7.687659,-10.733093
-217.77225,100.67529,-26.345688,3.047326,-6.1844835,12.242423,-3.8832536,-25.839382,23.992208,-18.674667,-22.47208,4.317847,-11.457827
-202.4575,124.91058,-17.38583,-2.9428506,-14.871496,25.189804,-0.8172646,-24.680637,13.261114,-12.620662,-24.289614,8.527775,-16.709492
-202.17676,119.071686,-10.193876,-7.3546896,-15.347966,21.098688,-3.9703314,-24.470833,17.355003,-3.2645721,-26.233997,3.742411,-9.977438
-217.0865,116.384995,5.3538027,2.7188754,-3.7335806,9.669604,-11.334881,-18.349571,20.001137,-4.667865,-26.159958,-0.35182774,-0.80625767
-245.5901,116.89845,12.466745,29.838455,4.12062,-9.67168,-4.092416,-0.77179414,11.560045,-10.519739,-27.271149,2.7776132,8.41469
-225.2346,118.83129,-15.420582,34.300297,17.711227,-26.839321,10.715218,-12.027273,9.738426,-12.679369,-26.528446,6.640407,15.884825
-214.59206,111.9306,-31.625608,24.029182,16.687078,-18.081635,3.686135,-17.323505,21.932194,-14.928702,-17.754284,-4.439527,14.018499
-230.43933,100.5907,-35.078743,14.765625,17.941128,4.590621,1.6312355,-22.757793,26.858917,-14.299659,-14.6609125,-9.494771,11.512323
-246.84888,103.18771,-31.667282,22.908497,19.124853,13.80616,-0.8598746,-26.81324,26.82896,-18.884,-15.278927,-13.0490055,9.320131
-285.01102,106.81787,-15.982065,28.496996,19.320179,15.974364,1.1140414,-13.48145,28.710484,-17.289957,-14.786996,-15.534867,8.38303
-367.73724,102.49666,0.105232656,31.02986,20.170458,14.7192135,2.9808335,2.5816984,31.465904,-6.6719966,-14.582541,-10.249168,9.395223
-489.2446,78.7006,12.739249,20.316185,18.590288,18.391079,-0.3888619,10.263355,32.6679,6.4775457,-11.035631,-1.3718199,8.58441
-585.1548,20.130875,17.45443,16.060892,14.521761,11.659325,9.670193,9.622969,8.901197,6.2897177,4.3788133,4.3569727,3.9299824
