MFCC_1,MFCC_2,MFCC_3,MFCC_4,MFCC_5,MFCC_6,MFCC_7,MFCC_8,MFCC_9,MFCC_10,MFCC_11,MFCC_12,MFCC_13
-532.36145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-532.21063,0.21273237,0.21106493,0.20829666,0.20444182,0.1995284,0.19357935,0.18663113,0.17872223,0.16990378,0.16022149,0.14973304,0.13849723
-521.8492,14.803156,14.614872,14.308082,13.892856,13.38246,12.792562,12.140372,11.443668,10.719917,9.985372,9.254421,8.539016
-516.5465,22.153336,21.53102,20.541632,19.250732,17.739014,16.093765,14.400742,12.737631,11.169717,9.747755,8.507548,7.470542
-517.404,20.978699,20.465832,19.644571,18.562443,17.280716,15.869696,14.4033985,12.954048,11.586911,10.3558035,9.299742,8.44087
-517.362,21.00448,20.395992,19.432064,18.182663,16.735744,15.188677,13.639097,12.176168,10.873195,9.782408,8.932091,8.32645
-512.4564,27.719334,26.464008,24.488949,21.95331,19.050468,15.985945,12.957215,10.137995,7.66816,5.6486535,4.1399984,3.162686
-439.81796,102.67781,48.753807,18.153748,17.667843,20.325619,10.751855,-5.4849086,-19.905869,-25.340996,-16.177193,0.027537763,5.8819675
-333.03854,160.08902,-0.33375865,-18.841957,26.528536,24.608282,-18.855564,-27.019636,-9.404976,-26.893444,-23.162766,-4.1377907,-3.795953
-254.3533,139.93594,-37.9862,-3.121942,26.884003,9.276625,-22.19747,-40.957306,1.4964378,-32.76021,-12.066675,-5.237935,-4.6293774
-223.21213,106.07508,-53.248146,20.431553,25.245823,-9.594044,-27.74186,-43.68685,3.6009822,-26.205402,1.7546229,-6.5333757,-1.206948
-208.3805,110.78795,-36.759422,45.791515,22.279144,-15.4966545,-33.24192,-42.29724,-7.8245716,-29.090374,-7.4805403,-16.420748,-5.668717
-228.91188,120.63448,-20.170774,46.029037,23.27757,-10.302045,-30.313164,-34.804153,-16.397581,-25.835003,-10.893015,-20.449091,-13.702178
-249.84251,109.215744,-4.436008,39.308846,21.773228,-6.456525,-32.191956,-24.192862,-23.54391,-27.99797,-4.4103684,-25.512249,-1.807027
-152.38211,95.73234,-28.937323,46.665726,0.84750456,-10.623046,-37.09759,-23.851982,-18.672375,-38.11285,-1.1191661,-22.00546,9.659616
-114.26995,83.68591,-47.582733,49.8529,-11.952833,-14.169942,-32.04217,-20.861526,-11.789572,-42.423508,7.7834954,-20.735743,15.627241
-127.46084,61.915726,-59.38064,51.139122,-12.522415,-17.924603,-28.173256,-17.459152,-4.499177,-36.94682,12.13903,-22.041477,14.253721
-169.72607,40.506943,-46.28356,57.189796,-12.911363,-15.145044,-27.450317,-15.600637,-2.843279,-36.513878,11.320589,-23.19101,15.132023
-220.45647,36.32363,-41.934067,43.954292,-9.880012,-5.6051426,-30.399834,-17.848085,5.7387724,-31.339485,10.170142,-25.628803,13.468624
-246.68185,45.10143,-41.646854,36.303123,-6.8028007,1.7764791,-26.66452,-26.86741,6.274594,-28.188688,8.070125,-31.184034,12.330426
-249.32596,60.347782,-31.714375,25.985336,-4.559392,15.098122,-24.045006,-29.219492,-2.6212199,-19.542912,1.0510492,-36.771843,4.640201
-219.32458,62.92673,-16.831593,5.342695,-0.36510092,15.709526,-17.978607,-24.59774,-10.876067,-0.7362479,-10.33809,-32.568764,-4.053597
-205.66386,33.086803,-6.006325,8.362126,2.937491,14.198789,-14.280907,-17.892057,-10.032396,1.0137889,-10.700834,-18.892859,-2.6468427
-231.24057,11.952393,-12.09042,12.053644,8.298253,21.075285,-8.42058,-12.888809,-1.6642935,7.8652143,-1.9832815,-9.125589,1.5853598
-314.7998,29.480513,-16.231152,9.588196,13.985369,26.936073,-2.820523,-15.336171,-0.08027901,15.448179,7.215697,-2.5079272,9.080397
-259.4217,115.77495,-55.178757,-4.847636,14.365776,29.475899,-26.711884,-22.70917,-5.4705725,-11.628157,9.945231,-17.277294,8.050474
-199.48627,126.00877,-42.097107,0.294592,11.449344,26.398724,-33.115356,-28.894846,-13.54331,-17.580498,2.8185754,-26.204231,-1.1816125
-204.47556,128.87477,-41.947197,8.402041,19.152945,22.603046,-44.864685,-27.173624,-7.0263286,-31.85758,7.1823306,-26.024689,-3.0645108
-196.1031,88.09398,-65.2545,44.690063,14.558309,-4.8194213,-44.51015,-19.861198,-6.1031437,-46.567253,22.58979,-32.63749,2.0668886
-188.53424,47.04889,-54.328102,82.98068,-5.954013,-19.936665,-25.166504,-13.956674,-5.9778075,-37.88591,21.59502,-32.949257,8.076469
-207.41093,26.303482,-19.444756,100.15297,-27.594618,-17.76166,1.3289989,-17.989166,-11.280354,-28.854055,20.597902,-37.100418,7.0166206
-225.28069,15.361013,7.14493,99.00171,-40.76629,-7.8893137,8.213421,-34.361057,-12.136087,-17.812302,7.324987,-40.850372,12.544709
-212.5177,31.324654,9.39485,94.8244,-44.43296,-18.042324,8.465803,-38.10286,-19.965076,-24.784435,4.6415987,-36.21835,9.667913
-192.12605,66.09378,-7.1813498,79.2383,-32.122776,-30.500488,-4.6023703,-31.521133,-17.895805,-26.827633,-0.8269276,-31.552776,0.4606446
-125.60273,87.85953,-47.139793,55.26741,-37.915443,-20.425514,-10.767067,-9.938515,-7.008237,-27.05083,-1.6568708,-24.465351,-9.581215
-64.86826,99.54071,-96.177505,40.33676,-50.406128,-2.1030898,-4.0993443,-2.141928,3.2204008,-27.234142,-2.1458278,-26.116425,1.0309973
-59.02436,100.00974,-125.41154,23.74621,-48.740665,12.792533,3.7108502,0.7006726,18.549858,-18.866188,-1.5586149,-21.564259,16.455658
-80.34803,97.01274,-124.32242,11.062806,-35.236305,27.444012,7.566977,-8.21962,18.45932,-12.768322,-6.7574234,-19.170567,22.786385
-118.60528,105.0473,-96.5136,6.0022163,-16.055984,38.606754,6.841263,-12.064016,13.068691,-7.0444117,-9.54371,-24.873959,20.074284
-174.05974,113.028854,-52.951897,1.6987252,3.856215,48.1345,7.602836,-3.3559585,5.736058,-0.2211552,-16.58155,-23.351332,11.712221
-288.73727,106.23834,-15.025861,7.5879574,12.753144,46.456352,12.200043,5.7580996,3.0791714,0.8017968,-17.04243,-18.288258,2.3909998
-288.8645,69.68106,-17.058022,21.322334,-7.2392206,8.559389,3.3538451,6.802539,6.8528748,9.933326,-3.384776,6.986227,8.27532
-207.4285,123.722855,-3.3213599,1.5865666,-26.404919,6.64133,-4.047393,-7.474494,-15.179783,1.9307634,-0.6033339,3.243385,6.17627
-166.03993,154.95496,3.2703545,-16.18334,-53.393673,15.550676,-2.661094,-19.894512,-25.460663,-2.8839703,4.874253,-3.1283636,12.058439
-161.40129,152.4447,-12.080036,-10.87999,-67.34282,24.4165,-1.3517721,-25.849976,-15.321209,-14.417839,11.514196,0.15620804,20.30067
-204.29602,133.28876,-18.437466,-8.852404,-75.14528,26.527096,-0.7236512,-23.337425,-6.3269615,-19.24279,13.002718,9.710035,25.42633
-249.65,133.16339,1.8114202,-7.144887,-75.665535,23.526424,1.6628056,-19.652916,-3.4788637,-26.634981,3.4484408,10.774629,19.269787
-284.8522,140.68718,20.361101,-9.541588,-66.03282,19.446594,4.1807723,-20.659582,-0.96447456,-28.038952,-9.542967,7.533753,13.550944
-325.66223,146.54297,40.875694,-3.8384626,-49.13761,10.85062,6.3398542,-16.683891,-1.202995,-23.565578,-14.2971,2.3205304,9.629809
-379.5979,144.16664,54.69678,-1.291392,-22.731934,5.2181454,9.975979,-3.100339,-3.9979472,-15.548406,-14.486187,-2.5060334,5.8163757
-419.56882,127.57035,60.750847,11.654547,2.2188482,13.739559,18.039417,7.924493,-5.4549,-12.989327,-12.661175,-6.491266,-0.4455521
-459.74628,87.11891,53.947334,29.160988,24.467049,28.957066,25.846285,11.77261,-3.0146039,-9.313192,-8.21473,-6.0250883,-5.2562094
-495.78577,48.710632,42.11272,36.26336,32.32498,27.728287,20.421684,11.965609,5.5570006,2.1434104,-0.023160517,-2.2760458,-3.6174543
-508.4989,33.288216,31.944887,29.810432,27.031275,23.793001,20.303516,16.774529,13.403315,10.356669,7.7584443,5.682,4.147931
-513.61743,26.266052,25.553654,24.411043,22.901627,21.10714,19.12136,17.04306,14.968739,12.985774,11.166722,9.564886,8.211874
-517.0386,21.495907,20.983429,20.15967,19.067902,17.764296,16.313942,14.786311,13.250509,11.770664,10.401892,9.187025,8.154416
-518.08844,20.032436,19.583157,18.862066,17.908339,16.772251,15.511215,14.185371,12.853237,11.567785,10.37319,9.302702,8.377505
-518.6813,19.239822,18.923231,18.40901,17.716568,16.871622,15.904887,14.850479,13.744196,12.62175,11.517027,10.460538,9.478086
-517.02985,21.44411,20.753798,19.67818,18.316784,16.786058,15.2023,13.66641,12.253138,11.006367,9.9403515,9.045776,8.298281
