MFCC_1,MFCC_2,MFCC_3,MFCC_4,MFCC_5,MFCC_6,MFCC_7,MFCC_8,MFCC_9,MFCC_10,MFCC_11,MFCC_12,MFCC_13
-537.52814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-537.52814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-527.8105,13.689659,13.531736,13.2746,12.926942,12.500149,12.007612,11.463914,10.88397,10.282175,9.6717415,9.063995,8.4679785
-522.58514,20.947704,20.403458,19.530384,18.376808,17.005287,15.487978,13.9014435,12.321176,10.81646,9.445739,8.253141,7.2661495
-523.42865,19.76544,19.25372,18.437542,17.368664,16.113237,14.746288,13.345518,11.985111,10.730011,9.631253,8.722713,8.019519
-524.66766,18.056244,17.673435,17.070343,16.293446,15.397412,14.437359,13.462275,12.510515,11.608292,10.770658,10.0046625,9.3130865
-522.0845,21.618334,20.966778,19.930435,18.578735,16.999544,15.29113,13.553373,11.879232,10.347315,9.016392,7.922034,7.0759134
-518.1326,26.99735,25.73656,23.749958,21.196823,18.276115,15.206136,12.202795,9.459242,7.128993,5.3144217,4.0614843,3.360938
-438.9709,106.17839,45.652885,17.22368,22.341072,23.443024,7.371014,-11.049726,-23.04438,-27.837662,-20.379856,-3.7782717,4.4890423
-331.8734,169.75098,3.904438,-19.878094,30.112358,27.908813,-20.390427,-27.078842,-9.797816,-24.097239,-20.27988,-3.085961,1.6223936
-257.96732,155.39511,-30.638382,-16.97255,23.800533,15.342372,-26.084259,-41.57424,7.7907133,-27.156822,-14.877477,-3.3185594,0.3919981
-223.72708,116.144745,-54.689163,8.004469,18.979362,-8.532464,-28.107315,-44.138504,11.17734,-27.938612,-6.411146,-5.8002133,-1.4099374
-207.65714,110.08533,-46.508385,36.685455,13.636663,-22.23293,-34.071022,-46.350662,3.390229,-36.677128,-7.3966856,-12.763391,-8.4655075
