MFCC_1,MFCC_2,MFCC_3,MFCC_4,MFCC_5,MFCC_6,MFCC_7,MFCC_8,MFCC_9,MFCC_10,MFCC_11,MFCC_12,MFCC_13
-573.4283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-573.39594,0.045686416,0.04542832,0.04499925,0.044400804,0.043635253,0.04270546,0.04161494,0.04037129,0.0389687,0.03742294,0.035736334,0.03391522
-563.9961,13.276961,13.093821,12.799873,12.411142,11.948252,11.434881,10.895908,10.35554,9.835505,9.35348,8.92188,8.547094
-558.55756,20.846,20.304289,19.438429,18.30088,16.959276,15.491226,13.978396,12.500359,11.128772,9.922272,8.92258,8.152045
-557.4191,22.410175,21.737633,20.674723,19.300343,17.710304,16.006117,14.284495,12.629224,11.106294,9.762447,8.626447,7.7118893
-556.6805,23.322046,22.271431,20.642702,18.600935,16.343674,14.074337,11.976242,10.191447,8.807366,7.852488,7.3012486,7.086054
-552.9512,28.415293,26.834995,24.364716,21.228542,17.700974,14.074992,10.629588,7.601412,5.163809,3.4153957,2.37858,2.0069773
-473.7412,108.84648,48.090584,15.408571,17.943972,23.24747,12.225752,-7.9707966,-23.863873,-25.908089,-13.396912,0.21431172,1.0958993
-355.30826,169.41089,-1.6556458,-13.760832,35.754524,35.87783,-20.724998,-26.222418,-13.146656,-31.353594,-15.740459,-1.8590977,-6.1490993
-270.7674,149.60187,-42.589195,0.8996539,31.072445,20.467346,-26.63001,-38.091408,4.247588,-36.072243,-9.225226,-7.728977,-6.3471994
-231.9901,112.18268,-68.93125,27.901241,22.904633,-7.250634,-28.71734,-40.23401,13.145292,-35.46322,2.005846,-11.181358,-4.2291093
-217.40096,111.58255,-52.705227,61.09785,17.945744,-20.842875,-34.037964,-39.833046,6.4413767,-45.110638,-3.7754095,-21.180656,-7.5214415
-232.56158,124.041885,-30.155182,65.34483,15.039471,-20.45085,-32.47669,-27.962246,-6.148881,-42.044388,-6.185257,-20.191673,-9.299574
