MFCC_1,MFCC_2,MFCC_3,MFCC_4,MFCC_5,MFCC_6,MFCC_7,MFCC_8,MFCC_9,MFCC_10,MFCC_11,MFCC_12,MFCC_13
-677.13275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-677.13275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-461.10004,-56.972336,8.991231,47.310112,0.020410717,10.073111,-18.889029,-16.914122,2.0661824,13.2757435,-30.718342,12.23645,-18.04011
-313.32602,-62.171722,6.20988,42.780594,3.9557524,16.406925,-21.754692,-15.468222,-7.540658,20.474218,-27.253958,10.904894,-13.450325
-249.9607,-73.5002,3.8258624,34.084137,3.4996967,16.604445,-20.235409,-13.8068695,-11.009684,20.223642,-25.043484,9.417094,-7.7717676
-226.39932,-89.87807,2.4257426,36.36873,2.131559,11.772066,-17.469511,-13.533001,-11.352997,13.026079,-22.844292,16.357445,-1.0501156
-224.46974,-107.351326,1.318603,49.858727,-8.568095,3.4014797,-10.441793,-9.479168,-15.610134,8.999462,-18.785616,29.525818,9.394814
-222.18042,-106.43666,-13.776626,54.327503,-4.7910013,-5.9214396,-9.294235,-12.350237,-22.865545,8.37945,-23.337793,22.89383,7.8353615
-166.8808,-4.094366,6.722321,45.721756,5.5279827,-3.3371994,-10.9398,-28.35411,-38.68199,-2.5250835,-36.59559,3.1319647,-10.798563
-162.4143,92.74275,4.2892833,8.828275,-9.356464,5.7690344,-2.8334222,-28.392881,-50.844555,-9.396415,-32.447044,2.4360733,-14.189447
-222.96336,154.08878,-8.875191,-0.08184379,-39.170223,22.916676,-10.375371,-27.189613,-41.28003,-24.5029,-16.065384,-9.757545,-15.245655
-287.77994,154.44304,3.0823793,7.5486603,-54.984516,11.056698,3.8389168,-29.241413,-14.490456,-42.555977,2.678514,-28.245325,-2.9515576
-336.4904,155.03009,35.973,11.928398,-63.5831,8.944211,5.8549867,-24.308388,-1.3630736,-37.358746,-12.316549,-23.42812,0.75789005
-354.94498,164.74353,34.08897,19.12938,-57.826427,3.6688228,6.501367,-32.446503,7.76293,-24.257744,-33.88296,-4.5519753,-6.854267
-335.69003,154.3768,24.765095,32.52687,-55.183926,10.510971,10.201203,-44.65466,-2.2250104,-29.413906,-33.417362,9.183865,-12.634491
-283.4975,134.67484,21.853893,49.15618,-53.612724,4.232562,12.243666,-40.278557,-22.653679,-22.160154,-27.528328,-9.325781,2.957644
-267.90604,106.68364,26.364458,65.26875,-26.462767,-11.656205,9.868127,-25.250992,-35.356407,-16.836548,-16.388317,-16.40014,1.258019
-268.22897,80.19627,34.733646,84.34771,-11.437611,-18.900146,15.394788,-23.469135,-34.806534,-10.988691,-6.014033,-24.176014,0.47193474
-270.26486,80.98248,40.525482,81.41228,-19.633251,-11.08708,18.431353,-32.38926,-25.337807,-10.638323,-1.010608,-26.864944,6.468791
-287.2177,85.9214,59.196724,79.03291,-27.617907,-1.0728478,7.857888,-30.116383,-22.294064,-1.7467349,-0.6024228,-25.018707,12.782627
-288.91156,81.61998,75.31537,77.65846,-8.919701,-2.4176898,2.9044428,-12.341501,-35.389824,5.0195847,-10.478296,-18.27346,11.760458
-275.80057,54.886105,94.93232,53.712986,29.560799,-15.954744,12.791725,-3.808429,-35.60715,-5.6683598,-11.941948,-10.453529,-2.5980396
-285.83698,8.445887,91.90223,30.252115,45.42968,-7.0641727,25.352911,4.142955,-30.402359,-17.220665,-7.6550446,-3.932435,-9.241876
-308.48453,-43.17086,58.331444,-7.1123395,39.596268,-6.5959454,25.59372,2.41845,-16.291094,-3.188021,2.499088,14.330438,-4.8641553
-289.04007,-60.78574,47.310993,-26.235199,29.695492,-10.913324,0.894415,-0.55408424,-16.977781,-0.087876,2.7536092,10.728605,-0.79991955
-281.0722,-71.29083,54.03156,-23.909927,27.837637,7.2538624,-12.018513,8.445618,-14.1625395,9.893953,9.938,7.6569214,2.3800678
-311.04846,-81.860916,58.6584,-23.77034,21.902481,22.485962,-15.217401,13.370523,-9.412301,11.502665,11.439305,11.096063,3.3574753
-373.9239,-78.98883,66.153625,-8.750746,14.692326,28.557259,-14.398773,7.5893173,-2.739692,9.801457,8.087139,14.474142,1.8739126
-307.82144,-57.713264,39.07426,41.512222,-21.534079,21.001137,-13.55249,-9.147176,-7.302121,-0.66000104,-4.903865,26.349583,-20.549755
-248.8064,-36.398453,57.101593,73.37057,-6.914798,26.438908,-12.256181,-4.611851,-19.053759,-5.584153,-14.045693,26.172615,-28.72805
-266.28888,6.556391,72.61062,99.176926,0.9736753,16.82145,-12.485594,-2.0902176,-34.486652,-7.2906923,-20.618593,24.565723,-24.190548
-350.2272,68.8501,60.040604,100.55125,11.697948,7.261731,2.118597,-2.0958624,-35.235313,2.558589,-12.128611,7.742122,-12.010658
