MFCC_1,MFCC_2,MFCC_3,MFCC_4,MFCC_5,MFCC_6,MFCC_7,MFCC_8,MFCC_9,MFCC_10,MFCC_11,MFCC_12,MFCC_13
-620.07306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-435.382,-82.03804,45.44304,34.712776,-18.762115,16.263773,-10.33199,9.087746,1.4138504,-6.5809755,18.623222,11.692964,-8.062609
-300.95795,-116.0414,55.56813,39.035824,-23.097897,24.283583,-8.435598,5.6022305,0.12425244,3.8886418,20.673147,8.394685,-0.24495924
-235.00351,-122.77355,55.319878,31.354053,-20.68966,27.409271,-8.49106,0.31909484,-1.1689242,8.841625,17.57525,8.567545,4.0286703
-127.944374,-34.55227,81.44125,19.564232,-39.79648,4.9893208,-20.158108,-7.7288275,-11.5016365,-4.0052757,3.7718077,-6.6141424,-11.789879
-49.563225,49.035088,42.549484,-11.182476,-33.31157,-5.9675055,-34.563282,-2.5431077,-1.6303928,-10.235006,-4.940037,-2.508573,-16.600082
-73.48169,107.73506,0.29558483,-25.238081,-24.01574,-6.5646214,-42.763805,-2.7811968,4.1624775,-13.557846,-8.910636,1.6845374,-20.145428
-150.79794,122.4725,-23.145634,-46.952774,-20.388042,-8.223081,-43.64425,-6.448162,6.6481833,-7.6213493,-18.783089,3.3442998,-13.535645
-213.56204,126.206345,-0.12591308,-48.084824,-14.170103,1.7374684,-48.420013,-27.112724,10.503504,-12.300194,-12.262939,-7.9996915,-6.2965055
-220.93837,130.271,22.616116,-32.622993,-5.604248,-3.2007036,-31.834707,-30.707815,-3.4754968,-9.75656,-1.8850849,-22.383736,-9.885275
-186.69542,126.92376,8.813002,-21.330467,0.010047227,-5.4155498,-26.891891,-11.054106,-1.3730643,-9.113375,-4.495798,-13.6056,-10.82906
-161.25723,124.20101,-7.106472,-27.59864,-13.663512,-11.960875,-20.876905,0.84584016,1.8332125,-16.403566,4.716218,-15.917052,-6.50614
-152.356,104.44946,-13.667681,-29.045568,-36.23535,-13.094555,-13.2938,4.3830514,-6.499187,-16.737753,6.5597982,-23.87981,-14.77097
-156.51418,102.41531,-10.632125,-20.957008,-31.219524,-10.506533,-7.1188345,7.120969,-12.927828,-15.4514065,4.1738286,-21.596241,-18.702232
-173.84465,89.31572,10.83522,-22.828802,-14.192678,-19.486343,1.4053452,0.46173087,-12.582081,-10.631681,-2.5049186,-17.36191,-19.54087
-188.64584,55.3091,49.231033,-28.53943,3.3698256,-17.989307,17.14236,-10.000919,-7.381652,-0.20610128,-7.6741595,-21.099953,-7.5748463
-235.58485,-0.9904489,56.698586,-28.233616,27.533627,-10.553821,22.487045,-13.865578,2.5177963,6.8680434,-7.0929074,-8.928225,0.10522193
-289.57474,-57.338856,50.41559,-34.444527,36.430786,-16.027243,18.776075,-8.531339,7.8088117,12.240767,3.1477904,6.7510805,0.015494227
-360.16028,-67.09334,73.75008,-32.425728,42.264576,-10.211016,9.40409,-5.3922095,1.741165,8.281667,4.3081594,9.261843,0.99954987
-301.57935,-9.905355,60.357018,-12.4102955,20.754108,17.413744,-15.223354,-6.5604887,-5.889943,18.67537,1.9579377,10.396633,-10.044205
-295.2438,-9.472633,54.039413,-0.6942772,13.223184,22.495634,-18.415176,0.12859094,-12.940966,27.059353,-0.68938255,12.522095,-10.552849
-419.3797,-26.176699,53.955635,10.560568,6.978945,20.507568,-10.4576025,7.0914035,-15.464678,33.568146,0.06503612,13.588591,-4.8593082
